workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
04B_tml_cv_baseline_naive_bayes,Naive Bayes model,var_smoothing=1.0,91.79599473,0.504075823,11381.3,0.510441885,2871.6,11208.8,2471.4,6/4/2021 7:00
04B_tml_cv_baseline_naive_bayes,Naive Bayes model,var_smoothing=0.001,89.32029569,0.507118809,10689.2,0.512503321,3563.7,10601.7,3078.5,6/4/2021 7:00
04B_tml_cv_baseline_naive_bayes,Naive Bayes model,var_smoothing=1e-06,89.08706995,0.507111649,10688.2,0.512494418,3564.7,10600.5,3079.7,6/4/2021 7:00
04B_tml_cv_baseline_naive_bayes,Naive Bayes model,var_smoothing=1e-09,89.08706995,0.507111649,10688.2,0.512494418,3564.7,10600.5,3079.7,6/4/2021 7:00
04B_tml_cv_baseline_naive_bayes,Naive Bayes model,var_smoothing=1e-12,89.08706995,0.507111649,10688.2,0.512494418,3564.7,10600.5,3079.7,6/4/2021 7:00
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=2, splitter=best, max_feature=None",76.92129516,0.511876581,10188.3,0.516589653,4064.6,10233.7,3446.5,6/4/2021 7:11
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=2, splitter=best, max_feature=sqrt",47.82256623,0.518836065,3907.1,0.514674581,10345.8,4146.9,9533.3,6/4/2021 7:11
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=2, splitter=best, max_feature=log2",67.77484812,0.516015031,4987.4,0.513940697,9265.5,5148.4,8531.8,6/4/2021 7:12
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=2, splitter=random, max_feature=None",40.92602218,0.517980452,3385.6,0.513489015,10867.3,3601.5,10078.7,6/4/2021 7:12
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=2, splitter=random, max_feature=sqrt",21.98507917,0.511336001,1459.1,0.503304091,12793.8,1489.4,12190.8,6/4/2021 7:12
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=2, splitter=random, max_feature=log2",15.47923009,0.510491124,1270,0.502341621,12982.9,1276.7,12403.5,6/4/2021 7:12
04E_tml_cv_baseline_linear_svm,Linear SVM model,iteration=100,15.13613797,0.501397957,6991.9,0.501300549,7261,6744.6,6935.6,6/4/2021 7:14
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=4, splitter=best, max_feature=None",95.19842522,0.515932676,9734.6,0.519791742,4518.3,9893.3,3786.9,6/4/2021 7:16
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=4, splitter=best, max_feature=sqrt",87.85022958,0.524338506,5642.4,0.522889854,8610.5,6035.9,7644.3,6/4/2021 7:17
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=4, splitter=best, max_feature=log2",112.861557,0.523626087,5368.7,0.521693896,8884.2,5742.3,7937.9,6/4/2021 7:17
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=4, splitter=random, max_feature=None",125.3093842,0.524001975,4924.9,0.521314754,9328,5309,8371.2,6/4/2021 7:18
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=4, splitter=random, max_feature=sqrt",33.29723836,0.513981575,2070.3,0.507144546,12182.6,2174.5,11505.7,6/4/2021 7:18
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=4, splitter=random, max_feature=log2",30.28571661,0.511769176,2549.7,0.505463881,11703.2,2592.1,11088.1,6/4/2021 7:18
04A_tml_cv_baseline_logistic_regression,Logistic Regression model,"solver=liblinear, iteration=100",132.1801884,0.529601066,5213,0.527428049,9039.9,5753.5,7926.7,6/4/2021 7:23
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=8, splitter=best, max_feature=None",306.4244774,0.532579598,6330,0.532172571,7922.9,6953.7,6726.5,6/4/2021 7:26
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=8, splitter=best, max_feature=sqrt",408.9794883,0.540416186,6454.4,0.540172182,7798.5,7297,6383.2,6/4/2021 7:27
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=8, splitter=best, max_feature=log2",320.1384085,0.536947195,5972.7,0.536005419,8280.2,6718.4,6961.8,6/4/2021 7:28
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=8, splitter=random, max_feature=None",380.5771694,0.539793276,5848.5,0.538550415,8404.4,6673.7,7006.5,6/4/2021 7:28
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=8, splitter=random, max_feature=sqrt",49.73236329,0.520479292,4085.8,0.516337776,10167.1,4371.5,9308.7,6/4/2021 7:29
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=8, splitter=random, max_feature=log2",55.27610911,0.5185461,3005,0.512734476,11247.9,3236.7,10443.5,6/4/2021 7:29
04E_tml_cv_baseline_linear_svm,Linear SVM model,iteration=500,38.48716064,0.514099805,6155.2,0.512995116,8097.7,6262.7,7417.5,6/4/2021 7:37
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=16, splitter=best, max_feature=None",731.6309413,0.571150311,6409.1,0.571544144,7843.8,8110.2,5570,6/4/2021 7:45
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=16, splitter=best, max_feature=sqrt",784.1062943,0.575249429,5755,0.574776027,8497.9,7570.6,6109.6,6/4/2021 7:46
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=16, splitter=best, max_feature=log2",654.0406291,0.561423551,6108.1,0.561181815,8144.8,7537.5,6142.7,6/4/2021 7:47
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=16, splitter=random, max_feature=None",713.8784801,0.569600251,5845.6,0.569172014,8407.3,7503.4,6176.8,6/4/2021 7:48
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=16, splitter=random, max_feature=sqrt",305.4457574,0.536646481,5349.7,0.534856232,8903.2,6087,7593.2,6/4/2021 7:48
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=16, splitter=random, max_feature=log2",229.7694826,0.531050957,5248.1,0.52895508,9004.8,5829.1,7851.1,6/4/2021 7:48
04A_tml_cv_baseline_logistic_regression,Logistic Regression model,"solver=liblinear, iteration=10000",132.1801884,0.529601066,5213,0.527428049,9039.9,5753.5,7926.7,6/4/2021 7:51
04A_tml_cv_baseline_logistic_regression,Logistic Regression model,"solver=sag, iteration=100",138.1028874,0.529701303,5194.9,0.527503426,9058,5738.2,7942,6/4/2021 7:58
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=32, splitter=best, max_feature=None",1440.954665,0.638590016,5235.3,0.638716634,9017.6,8820.2,4860,6/4/2021 8:12
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=32, splitter=best, max_feature=sqrt",987.1557673,0.591950077,5778.7,0.591901809,8474.2,8060.8,5619.4,6/4/2021 8:14
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=32, splitter=best, max_feature=log2",890.2429185,0.582810387,5902.6,0.582748738,8350.3,7929.4,5750.8,6/4/2021 8:15
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=32, splitter=random, max_feature=None",1200.187654,0.613354783,5419.1,0.613191876,8833.8,8299.1,5381.1,6/4/2021 8:16
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=32, splitter=random, max_feature=sqrt",630.6381277,0.562504656,6143.5,0.562323591,8109.4,7603.1,6077.1,6/4/2021 8:16
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=32, splitter=random, max_feature=log2",517.8664076,0.549101252,6139.6,0.548677426,8113.3,7224.8,6455.4,6/4/2021 8:17
04_tml_cv_baseline_rng_no_na,RNG model,random,10.01054978,0.499876348,,,,,,6/4/2021 8:17
04E_tml_cv_baseline_linear_svm,Linear SVM model,iteration=1000,106.6167404,0.526031823,5499.8,0.524207253,8753.1,5940.6,7739.6,6/4/2021 8:20
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=50, max_depth=2, max_feature=None",64.41671237,0.516691655,7669.9,0.517964078,6583,7849.8,5830.4,6/4/2021 8:33
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=50, max_depth=2, max_feature=sqrt",83.5637152,0.525176207,3642.9,0.520711966,10610,4059.8,9620.4,6/4/2021 8:40
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=64, splitter=best, max_feature=None",1532.595369,0.648739272,4914.4,0.648599839,9338.5,8782.8,4897.4,6/4/2021 8:42
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=64, splitter=best, max_feature=sqrt",1083.438172,0.600051556,5583,0.599880344,8669.9,8091.4,5588.8,6/4/2021 8:44
04C_tml_cv_baseline_decision_tree,Decision Tree model,"max_depth=64, splitter=best, max_feature=log2",915.761199,0.58462182,5825.2,0.584488661,8427.7,7902.6,5777.6,6/4/2021 8:45
