workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
11A_nndl_cv_mlp1_epochs,mlp1_epochs_100,"batch_size=1024, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7f9e9fea93b0>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=100",931.4700811,0.584707739,0.584100286,8778.8,7553.9,6126.3,5474.1,15/4/2021 1:29
11A_nndl_cv_mlp1_epochs,mlp1_epochs_50,"batch_size=1024, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7f9e9fea93b0>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",638.674724,0.563797081,0.563240408,8408.1,7340.5,6339.7,5844.8,15/4/2021 0:55
11B_nndl_cv_mlp1_batch_size,mlp1_batch_size_1024,"batch_size=1024, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fe8c409f320>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",618.0221675,0.561803017,0.561180268,8434.9,7258,6422.2,5818,14/4/2021 20:29
11B_nndl_cv_mlp1_batch_size,mlp1_batch_size_2048,"batch_size=2048, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fe8c409f320>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",480.1877401,0.552770718,0.552061795,8373.9,7066.7,6613.5,5879,14/4/2021 20:40
11B_nndl_cv_mlp1_batch_size,mlp1_batch_size_256,"batch_size=256, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fa24c36ba70>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",850.3199694,0.580408197,0.579881592,8624.5,7588.1,6092.1,5628.4,15/4/2021 3:11
11B_nndl_cv_mlp1_batch_size,mlp1_batch_size_512,"batch_size=512, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fe8c409f320>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",689.6709155,0.568311437,0.567614358,8578.1,7296.6,6383.6,5674.8,14/4/2021 20:12
12A_nndl_cv_mlp2_epochs,mlp2_epochs_100,"batch_size=1024, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fd243ec2200>, dropout_rate=[0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=100",1205.372542,0.609184094,0.608715249,9022.3,7994.1,5686.1,5230.6,14/4/2021 20:31
12A_nndl_cv_mlp2_epochs,mlp2_epochs_400,"batch_size=1024, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fd243ec2200>, dropout_rate=[0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=400",1997.442166,0.679634556,0.679391989,9862.2,9122.1,4558.1,4390.7,14/4/2021 23:10
12A_nndl_cv_mlp2_epochs,mlp2_epochs_50,"batch_size=1024, hidden_unit=[100, 200, 400, 200], activation=<function relu at 0x7fd243ec2200>, dropout_rate=[0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",867.9164212,0.580293632,0.579711462,8646.9,7562.5,6117.7,5606,14/4/2021 19:58
11C_nndl_cv_mlp1_hidden_units,"mlp1_hidden_units_[50, 100, 200, 100]","batch_size=512, hidden_unit=[50, 100, 200, 100], activation=<function relu at 0x7fa157976830>, dropout_rate=[0.2, 0.2, 0.2, 0.2, 0.2], learning_rate=0.0001, epoch=50",488.7936847,0.552452105,0.551585286,8461.2,6970.5,6709.7,5791.7,15/4/2021 3:54
